class,cap_shape,cap_surface,cap_color,odor,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
poisonous,flat,scaly,red,spicy,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,woods
edible,convex,smooth,white,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,bell,scaly,white,almond,close,broad,brown,enlarging,club,partial,white,1,pendant,brown,scattered,grasses
poisonous,flat,smooth,gray,foul,close,broad,pink,tapering,bulbous,partial,white,1,pendant,chocolate,several,grasses
edible,convex,smooth,brown,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,flat,smooth,white,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,flat,fibrous,red,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
poisonous,knobbed,scaly,brown,fishy,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,leaves
edible,convex,scaly,yellow,almond,close,broad,white,enlarging,club,partial,white,1,pendant,brown,numerous,grasses
edible,flat,smooth,brown,none,close,broad,brown,enlarging,missing,partial,brown,1,pendant,yellow,several,leaves
poisonous,flat,scaly,white,pungent,close,narrow,pink,enlarging,equal,partial,white,1,pendant,black,several,urban
poisonous,flat,smooth,brown,foul,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,paths
edible,bell,scaly,yellow,anise,close,broad,white,enlarging,club,partial,white,1,pendant,brown,numerous,meadows
edible,flat,fibrous,red,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
poisonous,convex,fibrous,pink,creosote,close,narrow,purple,enlarging,bulbous,partial,white,1,pendant,brown,scattered,woods
edible,flat,scaly,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
poisonous,flat,scaly,gray,foul,close,broad,chocolate,enlarging,bulbous,partial,white,1,large,chocolate,several,paths
edible,bell,smooth,gray,none,crowded,broad,white,enlarging,missing,partial,white,2,pendant,white,scattered,grasses
edible,convex,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,scaly,white,anise,close,broad,brown,enlarging,club,partial,white,1,pendant,black,scattered,meadows
poisonous,flat,scaly,red,spicy,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,woods
edible,convex,fibrous,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
poisonous,flat,scaly,brown,foul,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,leaves
edible,flat,scaly,yellow,almond,close,broad,pink,enlarging,rooted,partial,white,1,pendant,brown,solitary,paths
edible,convex,fibrous,gray,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
poisonous,convex,smooth,gray,creosote,close,narrow,brown,enlarging,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,scaly,white,none,close,narrow,white,enlarging,missing,partial,white,1,flaring,chocolate,several,woods
poisonous,convex,fibrous,yellow,foul,close,broad,gray,enlarging,bulbous,partial,white,1,large,chocolate,several,paths
poisonous,convex,scaly,white,pungent,close,narrow,black,enlarging,equal,partial,white,1,pendant,black,scattered,urban
poisonous,knobbed,smooth,red,fishy,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,paths
poisonous,convex,smooth,gray,creosote,crowded,narrow,purple,enlarging,bulbous,partial,white,1,pendant,brown,scattered,woods
poisonous,flat,smooth,brown,pungent,close,narrow,black,enlarging,equal,partial,white,1,pendant,brown,several,grasses
poisonous,convex,smooth,buff,foul,close,broad,chocolate,tapering,bulbous,partial,white,1,pendant,chocolate,several,urban
poisonous,flat,scaly,pink,none,close,broad,gray,enlarging,bulbous,partial,white,2,pendant,green,several,grasses
poisonous,flat,fibrous,gray,foul,close,broad,chocolate,enlarging,bulbous,partial,white,1,large,chocolate,several,woods
edible,flat,scaly,green,none,close,narrow,chocolate,enlarging,missing,partial,white,1,flaring,chocolate,several,woods
edible,convex,scaly,red,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
poisonous,convex,scaly,yellow,foul,close,broad,pink,enlarging,bulbous,partial,white,1,large,chocolate,several,woods
poisonous,flat,scaly,brown,foul,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,paths
edible,convex,fibrous,white,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
poisonous,flat,fibrous,yellow,foul,close,broad,pink,enlarging,bulbous,partial,white,1,large,chocolate,several,paths
edible,convex,smooth,gray,none,crowded,broad,white,enlarging,missing,partial,white,2,pendant,white,scattered,grasses
poisonous,flat,scaly,gray,foul,close,broad,chocolate,enlarging,bulbous,partial,white,1,large,chocolate,several,woods
poisonous,knobbed,scaly,brown,spicy,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,leaves
edible,convex,scaly,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,several,woods
