ID,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore,bait,OG_category,XENLA_GeneNames,HUMAN_GeneNames,OG_annotation,OG_category_annotation
ENOG411CTTX,4,17,3.541368078175896,1.8243068005098495,2.808735559163646,dnai2,B,"naa16-like.L, naa15.L","NAA15, NAA16",NatA auxiliary subunit,Chromatin Structure and dynamics
ENOG411CR0G,8,24,2.732537097357944,1.4502410822873117,2.790886509527072,dnai2,U,arcn1.L,ARCN1,Archain 1,Intracellular trafficing and secretion
ENOG411CXCD,85,126,1.4526929778047117,0.5387298260249673,2.7115699653956566,dnai2,O,"cct8.S, cct8.L",CCT8,"chaperonin containing Tcp1, subunit 8 (theta)",Post-translational modification
ENOG411CYCR,46,77,1.632545567953427,0.7071232611395104,2.7115603272154734,dnai2,C,ndufs1.S,NDUFS1,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)",Energy production and conversion
ENOG411CYEA,8,23,2.6232356134636263,1.3913473932337432,2.656609028382552,dnai2,L,pold1.L,POLD1,"polymerase (DNA directed), delta 1, catalytic subunit",Replication and repair
ENOG411DG9T,22,44,1.9246565642260305,0.9446010342275615,2.648597777120956,dnai2,O,"Xelaev18004555m.g, Xelaev18001532m.g, loc101731153.L, loc100487577-like.1.S, loc101731153.S",NA,tripartite motif containing 69,Post-translational modification
ENOG411CRQ4,3,14,3.688925081433225,1.883200489563418,2.643005938135107,dnai2,T,"lpp.L, lpp.S","LPP, TRIP6",LIM domain containing preferred translocation partner in lipoma,Signal Transduction
ENOG411CXWY,0,7,7.869706840390879,2.9763098939548995,2.633969638914541,dnai2,D,"Xelaev18033225m.g, Xelaev18000268m.g",CUL1,Cullin 1,Cell cycle control and mitosis
ENOG411DGH8,0,7,7.869706840390879,2.9763098939548995,2.633969638914541,dnai2,Z,wdr78.S,WDR78,WD repeat domain 78,Cytoskeleton
ENOG411D16P,6,19,2.8106095858538858,1.490883066784658,2.5670199486130567,dnai2,A,skiv2l.L,SKIV2L,superkiller viralicidic activity 2-like (S. cerevisiae,RNA processing and modification
ENOG411CYM3,5,17,2.95114006514658,1.5612723946760556,2.5279469996385306,dnai2,A,ddx4.S,DDX4,DEAD (Asp-Glu-Ala-Asp) box polypeptide 4,RNA processing and modification
ENOG411CURF,1,9,4.9185667752443,2.298237988842262,2.512832829922995,dnai2,BD,ncapg.L,NCAPG,Non-SMC condensin I complex subunit G,NA
ENOG411CVJR,1,9,4.9185667752443,2.298237988842262,2.512832829922995,dnai2,DO,"unc45b.L, unc45a.L","UNC45B, UNC45A",Unc-45 homolog,NA
ENOG411CVE5,1,9,4.9185667752443,2.298237988842262,2.512832829922995,dnai2,J,aars2.L,AARS2,"Alanyl-tRNA synthetase 2, mitochondrial",Tranlsation
ENOG411CTT2,4,15,3.1478827361563515,1.654381799067537,2.4958714353901668,dnai2,G,"gbe1.S, gbe1.L",GBE1,"Glucan (1,4-alpha-), branching enzyme 1",Carbohydrate metabolism and transport
ENOG411CP6U,10,25,2.3251406573882143,1.2173179934586944,2.494111425331205,dnai2,VW,"Xelaev18036111m.g, otog.S",OTOGL,Otogelin-like,NA
ENOG411CTMB,0,6,6.88599348534202,2.7836648160125037,2.4385379313895865,dnai2,FO,nme9.L,NME8,NME NM23 family member,NA
ENOG411CQT9,9,23,2.360912052117264,1.2393442997886936,2.435470819257242,dnai2,C,NA,DHTKD1,dehydrogenase E1 and transketolase domain containing 1,Energy production and conversion
ENOG411CXJA,25,46,1.7782510648960161,0.8304590274914448,2.428974117182841,dnai2,L,ruvbl2.S,RUVBL2,RuvB-like 2 (E. coli),Replication and repair
ENOG411DG9U,6,18,2.670079106561191,1.4168824853408808,2.4166286719088332,dnai2,K,"trim28.L, trim28.S",TRIM28,"Nuclear corepressor for KRAB domain-containing zinc finger proteins (KRAB-ZFPs). Mediates gene silencing by recruiting CHD3, a subunit of the nucleosome remodeling and deacetylation (NuRD) complex, and SETDB1 (which specifically methylates histone H3 at 'Lys-9' (H3K9me)) to the promoter regions of KRAB target genes. Enhances transcriptional repression by coordinating the increase in H3K9me, the decrease in histone H3 'Lys-9 and 'Lys-14' acetylation (H3K9ac and H3K14ac, respectively) and the disposition of HP1 proteins to silence gene expression. Recruitment of SETDB1 induces heterochromatinization. May play a role as a coactivator for CEBPB and NR3C1 in the transcriptional activation of ORM1. Also corepressor for ERBB4. Inhibits E2F1 activity by stimulating E2F1-HDAC1 complex formation and inhibiting E2F1 acetylation. May serve as a partial backup to prevent E2F1-mediated apoptosis in the absence of RB1. Important regulator of CDKN1A p21(CIP1). Has E3 SUMO-protein ligase activity toward itself via its PHD-type zinc finger",Transcription
ENOG411CZJ3,20,39,1.8737397239025904,0.9059205660635016,2.416595876081219,dnai2,O,NA,USP5,ubiquitin specific peptidase 5 (isopeptidase T),Post-translational modification
ENOG411CZEP,8,21,2.4046326456749907,1.2658165111498842,2.3767055366977874,dnai2,U,"dnm1l.S, dnm1l.L",DNM1L,Dynamin 1-like,Intracellular trafficing and secretion
ENOG411CQFY,59,89,1.47557003257329,0.5612723946760556,2.3711840985092256,dnai2,O,cct2.L,CCT2,"Chaperonin containing TCP1, subunit 2 (Beta)",Post-translational modification
ENOG411CY7P,19,37,1.8690553745928338,0.9023093125111226,2.34967182166493,dnai2,U,"copa.L, copa.S",COPA,Coatomer protein complex subunit alpha,Intracellular trafficing and secretion
ENOG411CQAK,4,14,2.95114006514658,1.5612723946760556,2.3295183797646595,dnai2,A,ddx5.S,"DDX17, DDX5",DEAD (Asp-Glu-Ala-Asp) box helicase,RNA processing and modification
ENOG411CXQS,1,8,4.42671009771987,2.146234895397212,2.316849478799448,dnai2,E,"ncln.L, ncln.S, loc101730472.L",NCLN,Nicalin homolog (Zebrafish),Amino Acid metabolis and transport
ENOG411CPTN,3,12,3.1970684039087947,1.6767496120959917,2.2994202450496406,dnai2,L,msh2.L,MSH2,"mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)",Replication and repair
ENOG411CPBI,3,12,3.1970684039087947,1.6767496120959917,2.2994202450496406,dnai2,O,"clgn.S, clgn.L","CANX, CLGN",Calnexin,Post-translational modification
ENOG411CT7Y,3,12,3.1970684039087947,1.6767496120959917,2.2994202450496406,dnai2,L,rfc2.L,RFC2,"Replication factor C (Activator 1) 2, 40kDa",Replication and repair
ENOG411CX8F,2,10,3.6069489685124863,1.8507790118710405,2.288624929864663,dnai2,U,vps13c.L,VPS13C,vacuolar protein sorting 13 homolog C (S. cerevisiae),Intracellular trafficing and secretion
ENOG411CZRH,21,39,1.7885697364524726,0.8388063702049646,2.265373735056066,dnai2,Z,dctn1.S,DCTN1,Dynactin 1,Cytoskeleton
ENOG411CRWF,6,17,2.529548627268497,1.3388799733396077,2.2609144702954924,dnai2,I,NA,SACM1L,SAC1 suppressor of actin mutations 1-like (yeast),Lipid metabolism
ENOG411DCD3,0,5,5.9022801302931605,2.561272394676056,2.2260301295434397,dnai2,TZ,tes.S,TES,Testis derived transcript (3 LIM domains),NA
ENOG411CY0R,0,5,5.9022801302931605,2.561272394676056,2.2260301295434397,dnai2,K,irf2bpl.S,"IRF2BP1, IRF2BPL",Interferon regulatory factor 2 binding,Transcription
ENOG411CR84,0,5,5.9022801302931605,2.561272394676056,2.2260301295434397,dnai2,K,"arhgap35.L, arhgap35.S",ARHGAP35,Rho GTPase activating protein 35,Transcription
ENOG411CZUT,0,5,5.9022801302931605,2.561272394676056,2.2260301295434397,dnai2,Z,"lasp1.S, nebl-like.1.L",LASP1,LIM and SH3 protein 1,Cytoskeleton
ENOG411CS25,0,5,5.9022801302931605,2.561272394676056,2.2260301295434397,dnai2,O,"ubr2.S, ubr1.L, ubr2.L","UBR2, UBR1",Ubiquitin protein ligase E3 component n-recognin,Post-translational modification
ENOG411CX19,0,5,5.9022801302931605,2.561272394676056,2.2260301295434397,dnai2,A,NA,XAB2,XPA binding protein 2,RNA processing and modification
ENOG411CWNN,0,5,5.9022801302931605,2.561272394676056,2.2260301295434397,dnai2,N,"loc100498184.S, loc101735200.S, loc100495666.L, loc100498184.L, loc101735200.L, loc100495666.S",TCTEX1D1,Tctex1 domain containing 1,Cell motility
ENOG411CWF5,0,5,5.9022801302931605,2.561272394676056,2.2260301295434397,dnai2,Q,"fmo5.S, loc100496770-like.L, fmo5.L, fmo2.L, loc100489107.L, fmo3.L, fmo1.L, loc100489254.S, loc100489107.S, loc100489254.L, fmo2.S","FMO5, FMO3, FMO6P, FMO1, FMO2",Dimethylaniline monooxygenase (N-oxide-forming),Secondary Structure
ENOG411DDA1,0,5,5.9022801302931605,2.561272394676056,2.2260301295434397,dnai2,S,"Xelaev18001540m.g, Xelaev18004560m.g, loc100493030.1.L, loc100488530-like.1.L",NA,Root hair defective 3 GTP-binding protein (RHD3),Function Unknown
ENOG411D0MN,0,5,5.9022801302931605,2.561272394676056,2.2260301295434397,dnai2,O,"mipep.L, mipep.S",MIPEP,Mitochondrial intermediate peptidase,Post-translational modification
ENOG411CZU7,10,23,2.146283683742967,1.1018407760387585,2.2217178053130264,dnai2,S,trim29.L,TRIM29,tripartite motif containing 29,Function Unknown
ENOG411CQD9,55,82,1.458003722661703,0.5439944032442201,2.214627182226687,dnai2,Z,"loc100490994.S, krt8.L, krt6.S, krt5.6.L, Xelaev18013613m.g, Xelaev18016074m.g, Xelaev18013621m.g, Xelaev18013617m.g, Xelaev18013614m.g, krt5.3.S, krt75.L, Xelaev18016076m.g, krt5.1-like.1.L, krt5.3.L, krt5.7.S, krt5.7.L, loc100490994.L, Xelaev18013612m.g, Xelaev18013616m.g, Xelaev18013622m.g","KRT6A, KRT6B, KRT6C, KRT5, KRT75, KRT7","keratin, type II cytoskeletal",Cytoskeleton
ENOG411D0UW,5,15,2.6232356134636263,1.3913473932337432,2.2059103861779175,dnai2,L,ruvbl1.L,RUVBL1,RuvB-like 1 (E. coli),Replication and repair
ENOG411CRP2,15,30,1.9059446254071664,0.9305062043417749,2.186175704840389,dnai2,S,"Xelaev18005061m.g, loc100485391-like.L, loc100485391-like.1, Xelaev18044721m.g, loc100145536.L, itln1.L, Xelaev18044723m.g, loc100127565.S","ITLN2, ITLN1",Intelectin 1 (Galactofuranose binding),Function Unknown
ENOG411CRFV,13,27,1.9674267100977199,0.9763098939548995,2.166939437089669,dnai2,P,"atp2a3.S, atp2a1.S, atp2a1.L","ATP2A2, ATP2A1, ATP2A3",ATPase CA transporting cardiac muscle,Inorganic ion transport and metabolism
ENOG411CVFB,21,38,1.7438554930411607,0.8022804941798505,2.154718519376472,dnai2,C,"sucla2.L, Xelaev18023027m.g","SUCLG2, SUCLA2",beta subunit,Energy production and conversion
ENOG411CVXK,3,11,2.9511400651465802,1.561272394676056,2.1139782141102597,dnai2,O,"dnajc7.S, dnajc7.L",DNAJC7,"DnaJ (Hsp40) homolog, subfamily C, member 7",Post-translational modification
ENOG411D2E0,3,11,2.9511400651465802,1.561272394676056,2.1139782141102597,dnai2,T,"loc448531.S, loc448531.1.L",NA,programmed cell death,Signal Transduction
ENOG411CSB0,52,77,1.447729088562473,0.5337916582539485,2.111144770429591,dnai2,O,tcp1.S,TCP1,T-complex protein 1 subunit alpha,Post-translational modification
ENOG411CPD2,1,7,3.9348534201954397,1.9763098939548995,2.1053601558786528,dnai2,L,ercc6l.L,ERCC6L,"excision repair cross-complementing rodent repair deficiency, complementation group 6-like",Replication and repair
ENOG411CUG1,1,7,3.9348534201954397,1.9763098939548995,2.1053601558786528,dnai2,J,eif2b4.S,EIF2B4,"Eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa",Tranlsation
ENOG411CSFP,1,7,3.9348534201954397,1.9763098939548995,2.1053601558786528,dnai2,O,"clpx.L, clpx.S",CLPX,ClpX caseinolytic peptidase X homolog (E. coli),Post-translational modification
ENOG411CTR8,1,7,3.9348534201954397,1.9763098939548995,2.1053601558786528,dnai2,T,"zyx.L, zyx.S",ZYX,Adhesion plaque protein. Binds alpha-actinin and the CRP protein. Important for targeting TES and ENA VASP family members to focal adhesions and for the formation of actin-rich structures. May be a component of a signal transduction pathway that mediates adhesion-stimulated changes in gene expression (By similarity),Signal Transduction
ENOG411CUS7,6,16,2.389018147975803,1.256417813147635,2.0993771224306785,dnai2,O,"usp9x.S, usp9x.L","USP9X, USP9Y","ubiquitin specific peptidase 9, X-linked",Post-translational modification
ENOG411D0GZ,13,26,1.8971614704513728,0.923842474060764,2.034997702056648,dnai2,U,"copb2.S, copb2.L",COPB2,"coatomer protein complex, subunit beta 2 (beta prime)",Intracellular trafficing and secretion
ENOG411CPMA,9,20,2.065798045602606,1.0466992218462976,2.0033788784400275,dnai2,J,iars2.L,IARS2,"Isoleucyl-tRNA synthetase 2, mitochondrial",Tranlsation
ENOG411CPDR,80,109,1.335907025374995,0.41781960459493445,1.9987982178744295,dnai2,G,"pygl.L, loc100491051-like.L, pygl.S, loc100491051-like.S","PYGB, PYGM, PYGL","Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)",Carbohydrate metabolism and transport
ENOG411CT0X,0,4,4.9185667752443,2.298237988842262,1.9909858702087517,dnai2,U,"trappc11.S, trappc11.L",TRAPPC11,trafficking protein particle complex 11,Intracellular trafficing and secretion
ENOG411CQ5D,0,4,4.9185667752443,2.298237988842262,1.9909858702087517,dnai2,G,"phkb.S, phkb.L",PHKB,phosphorylase kinase beta,Carbohydrate metabolism and transport
ENOG411CSY2,0,4,4.9185667752443,2.298237988842262,1.9909858702087517,dnai2,J,NA,"DUS3L, NA",Dihydrouridine synthase 3-like (S. cerevisiae),Tranlsation
ENOG411D4D3,0,4,4.9185667752443,2.298237988842262,1.9909858702087517,dnai2,S,loc100492104.L,NA,Nucleoside diphosphate kinase,Function Unknown
ENOG411CTG2,0,4,4.9185667752443,2.298237988842262,1.9909858702087517,dnai2,J,"eif5.S, eif5.L",EIF5,Eukaryotic translation initiation factor 5,Tranlsation
ENOG411CUJC,0,4,4.9185667752443,2.298237988842262,1.9909858702087517,dnai2,U,"rrbp1.S, rrbp1.L",RRBP1,ribosome binding protein 1 homolog 180kDa (dog),Intracellular trafficing and secretion
ENOG411CPGE,0,4,4.9185667752443,2.298237988842262,1.9909858702087517,dnai2,S,"exd2.S, exd2.L",EXD2,Exonuclease 3'-5' domain containing 2,Function Unknown
ENOG411CSQS,0,4,4.9185667752443,2.298237988842262,1.9909858702087517,dnai2,T,"camk2g.S, camk2d.S, Xelaev18020277m.g, camk2g.L, camk2d.L, camk2a.S, Xelaev18018622m.g","CAMK2G, CAMK2B, CAMK2D, CAMK2A",calcium calmodulin-dependent protein kinase II,Signal Transduction
ENOG411CSCK,4,12,2.557654723127036,1.3548215172086295,1.9728834436347125,dnai2,S,ptcd3.L,PTCD3,Pentatricopeptide repeat domain 3,Function Unknown
ENOG411CRY3,4,12,2.557654723127036,1.3548215172086295,1.9728834436347125,dnai2,I,hdlbp.L,HDLBP,High density lipoprotein binding protein,Lipid metabolism
ENOG411CSRQ,18,32,1.7085547745585463,0.7727764998697676,1.9254065745873892,dnai2,U,"ipo9.L, ipo9.S",IPO9,Importin 9,Intracellular trafficing and secretion
ENOG411D2BD,3,10,2.705211726384365,1.4357415125921968,1.9175941733574224,dnai2,I,"crat.2.L, crat.2.S",NA,Choline/Carnitine o-acyltransferase,Lipid metabolism
ENOG411DGCS,3,10,2.705211726384365,1.4357415125921968,1.9175941733574224,dnai2,T,"lima1.S, lima1.L",NA,LIM domain and actin binding 1,Signal Transduction
ENOG411CZFZ,3,10,2.705211726384365,1.4357415125921968,1.9175941733574224,dnai2,A,NA,DDX1,DEAD (Asp-Glu-Ala-Asp) box helicase 1,RNA processing and modification
ENOG411CY7I,13,25,1.8268962308050254,0.8693946900383874,1.8999731177174854,dnai2,I,"acsl1.S, acsl1.L",ACSL1,Acyl-CoA synthetase long-chain family member 1,Lipid metabolism
ENOG411CT39,2,8,2.95114006514658,1.5612723946760556,1.8772989644807334,dnai2,U,kpna4.L,"KPNA4, KPNA3",Importin subunit alpha,Intracellular trafficing and secretion
ENOG411CW7P,11,22,1.8854505971769815,0.9149093492907562,1.8717222917157728,dnai2,L,NA,MCM7,minichromosome maintenance complex component 7,Replication and repair
ENOG411D0BQ,11,22,1.8854505971769815,0.9149093492907562,1.8717222917157728,dnai2,L,NA,MCM5,Minichromosome maintenance complex component 5,Replication and repair
ENOG411CX81,5,13,2.2953311617806733,1.1987023152913476,1.8557508446051971,dnai2,Z,"dctn2.L, dctn2.S",DCTN2,Dynactin 2 (P50),Cytoskeleton
ENOG411CPU1,5,13,2.2953311617806733,1.1987023152913476,1.8557508446051971,dnai2,UY,NA,NUP155,Nucleoporin 155kDa,NA
ENOG411CS1T,7,16,2.0903908794788277,1.0637727352052393,1.8417572766492405,dnai2,C,ndufa10.L,NDUFA10,NADH dehydrogenase ubiquinone 1 alpha subcomplex 10,Energy production and conversion
ENOG411CW4Z,4,11,2.360912052117264,1.2393442997886936,1.7804620807713842,dnai2,O,"dnaja4.1.S, dnaja1.S, dnaja4.1.L","DNAJA1, DNAJA4","DnaJ (Hsp40) homolog, subfamily A, member",Post-translational modification
ENOG411CUU4,30,46,1.4914363770095618,0.5767024352456617,1.7655861235819157,dnai2,J,lars.S,LARS,leucyl-trna synthetase,Tranlsation
ENOG411CW58,65,88,1.3265225545355839,0.4076492055628439,1.7584264745797584,dnai2,O,"Xelaev18042878m.g, Xelaev18042888m.g",CCT3,"Chaperonin containing Tcp1, subunit 3 (Gamma)",Post-translational modification
ENOG411CPSN,6,14,2.107957189390414,1.0758455675058138,1.7564387735413045,dnai2,K,"polr2b.L, polr2b.S",POLR2B,"polymerase (RNA) II (DNA directed) polypeptide B, 140kDa",Transcription
ENOG411CZB5,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,D,"loc100486893.L, loc100486893.S",SMC2,structural maintenance of chromosomes 2,Cell cycle control and mitosis
ENOG411CZXI,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,A,"nop56.L, nop56.S",NOP56,NOP56 ribonucleoprotein homolog (yeast),RNA processing and modification
ENOG411CUSR,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,K,"polr2a.S, Xelaev18023980m.g, polr2a.L",POLR2A,polymerase (RNA) II (DNA directed) polypeptide A,Transcription
ENOG411DD9H,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,T,Xelaev18002199m.g,NA,"Protein phosphatase that associates with over 200 regulatory proteins to form highly specific holoenzymes which dephosphorylate hundreds of biological targets. Protein phosphatase 1 (PP1) is essential for cell division, and participates in the regulation of glycogen metabolism, muscle contractility and protein synthesis. Involved in regulation of ionic conductances and long-term synaptic plasticity. May play an important role in dephosphorylating substrates such as the postsynaptic density-associated Ca(2 ) calmodulin dependent protein kinase II. Component of the PTW PP1 phosphatase complex, which plays a role in the control of chromatin structure and cell cycle progression during the transition from mitosis into interphase. Regulates NEK2 function in terms of kinase activity and centrosome number and splitting, both in the presence and absence of radiation-induced DNA damage. Regulator of neural tube and optic fissure closure, and enteric neural crest cell (ENCCs) migration during development",Signal Transduction
ENOG411CTER,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,D,"strn.L, strn3.L, strn3.S","STRN, STRN3, STRN4","Striatin, calmodulin binding protein",Cell cycle control and mitosis
ENOG411CTZP,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,L,prkdc.L,PRKDC,"protein kinase, DNA-activated, catalytic polypeptide",Replication and repair
ENOG411CRHE,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,D,"ttk.L, ttk.S",TTK,ttk protein kinase,Cell cycle control and mitosis
ENOG411CSFA,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,S,"phf10.S, phf10.L",PHF10,PHD finger protein 10,Function Unknown
ENOG411CXK8,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,U,srp68.S,SRP68,Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane (By similarity),Intracellular trafficing and secretion
ENOG411CVPX,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,V,"zfyve16.L, zfyve16.S, zfyve9.L, zfyve9.S","ZFYVE16, ZFYVE9","Zinc finger, FYVE domain containing",NA
ENOG411CPFQ,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,E,"dmgdh.S, pdpr.L",PDPR,pyruvate dehydrogenase phosphatase regulatory subunit,Amino Acid metabolis and transport
ENOG411DFW5,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,Z,"loc100495318-like.L, loc100495318-like.S",EML1,Echinoderm microtubule associated protein like,Cytoskeleton
ENOG411CU34,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,S,trappc12.S,TRAPPC12,trafficking protein particle complex 12,Function Unknown
ENOG411CPDS,0,3,3.9348534201954397,1.9763098939548995,1.7242131620693701,dnai2,J,dph6.L,DPH6,ATP binding domain 4,Tranlsation
