Timestamp,Where are you located? (Country and/or nearest Major city or hubs names),Biotech sub industry?,[OPTIONAL] Company Name,Company Details - public/private/start-up/ subsidiary of ,Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,[OPTIONAL]  Sign on Bonus Value,[OPTIONAL] Sign on - Relocation Assistance Total Value
5/8/2022 6:59:07,San Diego ,Pharmaceutical (including “big pharma”),,Public,50-200,Scientist I,PhD or Equivalent,4,120000,Not Applicable/None,Not Applicable/None,5000,
5/8/2022 7:01:38,Boston,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist,PhD or Equivalent,2,124000,6000,Not Applicable/None,10000,
5/8/2022 7:05:29,New York metropolitan area,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist II,Bachelors or Equivalent,3,83567,6267,Not Applicable/None,5000,
5/8/2022 7:29:42,"Brighton, UK",Academia/Research,,Academia/College/Universities,1000-5000,Research Associate,Bachelors or Equivalent,0,35000,Not Applicable/None,Not Applicable/None,,
5/8/2022 7:30:52,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Principal Research Associate II,Bachelors or Equivalent,9,105000,15000,Variable,,
5/8/2022 8:00:39,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Research Associate  2,Bachelors or Equivalent,5,82000,10%,Not Applicable/None,7000,
5/8/2022 8:09:11,Thousand Oaks (Los Angeles),Pharmaceutical (including “big pharma”),Amgen,Public,5000+,Sr. Associate Manufacturing,Bachelors or Equivalent,4,85000,~5-10k (performance based),LTI ~2k,,
5/8/2022 8:25:41,Ireland,Pharmaceutical (including “big pharma”),,Private,200-1000,QA Analyst,Bachelors or Equivalent,1,41200,Not Applicable/None,Not Applicable/None,,
5/8/2022 8:50:29,New York City,Pharmaceutical (including “big pharma”),,Public,5000+,Senior scientist,Masters or Equivalent,4,142000,15%,$8k,,
5/8/2022 8:52:58,"Chicago, IL",Pharmaceutical (including “big pharma”),AbbVie,Public,5000+,Senior Scientist I,PhD or Equivalent,2,114000,8%,Not Applicable/None,20000,15000
5/8/2022 8:55:36,"Portland, OR",Medical Devices,,Private,1-50,Research associate II,Bachelors or Equivalent,4,72000,Not Applicable/None,Not Applicable/None,,
5/8/2022 9:18:48,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Scientist I,PhD or Equivalent,4,122000,10%,Not Applicable/None,10000,
5/8/2022 9:26:59,"Indianapolis, IN",Pharmaceutical (including “big pharma”),Eli Lilly,Public,5000+,Scientist,Bachelors or Equivalent,0,66000,6k plus or minus some. Up to 14k,6% 401K match. Pension after 5 years. ,,15000
5/8/2022 9:32:45,"RTP, NC",Pharmaceutical (including “big pharma”),,Start-up,50-200,Director,Bachelors or Equivalent,18,200000,50000,Not Applicable/None,,
5/8/2022 9:35:41,Boston ,Medical Devices,,Public,200-1000,Production Associate 1,Associate’s Degree or Equivalent,1,55000,Not Applicable/None,Not Applicable/None,,
5/8/2022 9:46:16,Boston,Pharmaceutical (including “big pharma”),Biogen,Public,5000+,Sr Scientist,PhD or Equivalent,4,148000,25900,24000,15000,40000
5/8/2022 10:02:46,Canada,Animal Health,,Public,1000-5000,Supervisor ,Bachelors or Equivalent,5,102000,10200,Not Applicable/None,5000,5000
5/8/2022 10:09:13,Boston,Academia/Research,DFCI,Private,200-1000,Intern,High School or Equivalent,1,0,Not Applicable/None,Not Applicable/None,0,
5/8/2022 10:19:20,Boston,Pharmaceutical (including “big pharma”),Abbvie,Public,5000+,Scientist I,Bachelors or Equivalent,5,89000,8%,Not Applicable/None,,
5/8/2022 10:27:34,"Cambridge, MA",Pharmaceutical (including “big pharma”),,Private,50-200,Senior Scientist,PhD or Equivalent,2,140000,16%,Not Applicable/None,20000,
5/8/2022 10:28:36,Kansas City,Pharmaceutical (including “big pharma”),,Public,5000+,Associate Scientist,Bachelors or Equivalent,1,50000,Not Applicable/None,Not Applicable/None,0,
5/8/2022 10:35:55,Seattle,Analytical Devices,NanoString Technologies Inc.,Public,200-1000,Research Associate II,Masters or Equivalent,3,62500,3125,5000,,
5/8/2022 10:49:47,Orange County,Pharmaceutical (including “big pharma”),"Commissioning Agents, Inc",Private,1000-5000,CQV Engineer,Bachelors or Equivalent,0,81120,Not Applicable/None,12000,,
5/8/2022 11:11:59,Boston,Pharmaceutical (including “big pharma”),,Public,200-1000,Research Associate I,Bachelors or Equivalent,1,72000,7200,2500,0,0
5/8/2022 11:25:29,Phoenix,Medical Devices,,Public,200-1000,Field Applications Scientist,Masters or Equivalent,11,88400,8000,Not Applicable/None,,
5/8/2022 11:34:31,bay area,Pharmaceutical (including “big pharma”),,Public,50-200,principal scientist,PhD or Equivalent,8,170000,25000,30000,10000,
5/8/2022 11:35:38,bay area,Pharmaceutical (including “big pharma”),,Private,50-200,senior scientist 1,PhD or Equivalent,8,148000,25000,30000,5000,
5/8/2022 11:38:03,Seattle,Pharmaceutical (including “big pharma”),Just-Evotec Biologics,Subsidiary,200-1000,Associate Scientist,Bachelors or Equivalent,1,70000,3500,~3500,0,
5/8/2022 11:42:22,Pittsburgh,Academia/Research,,Academia/College/Universities,5000+,PhD Student,Bachelors or Equivalent,0,30000,Not Applicable/None,Not Applicable/None,,
5/8/2022 12:05:15,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Senior associate scientist ,Bachelors or Equivalent,4,109000,16500,5000,,
5/8/2022 12:33:42,Bay Area,Pharmaceutical (including “big pharma”),,Public,200-1000,Sr. Scientist I,PhD or Equivalent,3,135000,13500,not sure,7500,0
5/8/2022 12:44:08,"Newark, CA",Pharmaceutical (including “big pharma”),,Public,200-1000,Research Associate I - Protein Purification,Bachelors or Equivalent,2,76650,7665,13000,,
5/8/2022 13:06:45,"Knoxville, TN",Academia/Research,ORNL,Government,5000+,Postdoc,PhD or Equivalent,1,70000,Not Applicable/None,Not Applicable/None,0,5000
5/8/2022 13:07:30,"Cambridge, UK",Pharmaceutical (including “big pharma”),,Start-up,1-50,Research Technican,Bachelors or Equivalent,0,25500,2550,Not Applicable/None,,
5/8/2022 13:20:20,SF Bay Area,Pharmaceutical (including “big pharma”),,Private,50-200,Senior Scientist,PhD or Equivalent,7,185000,37000,Not Applicable/None,,
5/8/2022 13:49:38,"Cambridge,MA",Pharmaceutical (including “big pharma”),,Public,50-200,Scientist I,PhD or Equivalent,0,125,12000,Not Applicable/None,10000,
5/8/2022 14:03:00,"Hayward, CA",Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist,PhD or Equivalent,0,135000,13500,Not Applicable/None,,5000
5/8/2022 14:21:36,Seattle,Pharmaceutical (including “big pharma”),,Subsidiary,50-200,Scientist,Bachelors or Equivalent,3,100000,6000,3000,,
5/8/2022 14:52:23,Bay Area,Pharmaceutical (including “big pharma”),,Public,200-1000,Principal Research Associate,Masters or Equivalent,6,118000,11800,Not Applicable/None,5000,12000
5/8/2022 14:53:03,Triangle,Pharmaceutical (including “big pharma”),,Public,5000+,Sr. Validation Engineer,Bachelors or Equivalent,10,95000,9500,Not Applicable/None,,18000
5/8/2022 15:04:39,Bay Area,Pharmaceutical (including “big pharma”),,Public,1000-5000,Sr. Manager,PhD or Equivalent,20,175000,Not Applicable/None,Not Applicable/None,0,0
5/8/2022 16:06:46,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,MFG Supervisor,Masters or Equivalent,6,130000,13000,Not Applicable/None,10000,3000
5/8/2022 16:26:13,Seattle,Pharmaceutical (including “big pharma”),,Private,1000-5000,Specialist I,Bachelors or Equivalent,3,62000,Not Applicable/None,Not Applicable/None,,
5/8/2022 16:28:44,"Waco, TX ",Pharmaceutical (including “big pharma”),Abbvie,Public,5000+,Laboratory Technician V,Bachelors or Equivalent,3,70720,3%,Not Applicable/None,,
5/8/2022 16:39:11,Bay Area,Academia/Research,,Start-up,1-50,Scientist,PhD or Equivalent,2,96000,Not Applicable/None,Not Applicable/None,,
5/8/2022 16:54:50,New Haven,Pharmaceutical (including “big pharma”),,Public,1000-5000,Associate Scientist II,Bachelors or Equivalent,2,77000,7%,10000 RSUs,,24000
5/8/2022 16:57:43,San Diego,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate II,Bachelors or Equivalent,2,88000,Not Applicable/None,Not Applicable/None,,
5/8/2022 17:17:26,Boston,Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist,PhD or Equivalent,2,135000,15,10000,,20000
5/8/2022 17:47:11,Belgium,Academia/Research,,Academia/College/Universities,200-1000,PhD student,Masters or Equivalent,0,27000,Not Applicable/None,Not Applicable/None,,
5/8/2022 18:32:25,Chicago IL,Lab consumables,,Public,5000+,Scientist I,Bachelors or Equivalent,2,69300,7000,Not Applicable/None,,
5/8/2022 19:27:11,San Francisco,Pharmaceutical (including “big pharma”),,Start-up,1-50,Research Associate,Bachelors or Equivalent,1,80000,7%,4750,5000,
5/8/2022 19:34:55,Los Angeles,Pharmaceutical (including “big pharma”),,Public,5000+,QC Analyst 2,Bachelors or Equivalent,1,70720,5000,Not Applicable/None,,
5/8/2022 19:59:48,"San Antonio, texas",Animal research (government),,Government,200-1000,Research associate,Bachelors or Equivalent,3,40000,Not Applicable/None,Not Applicable/None,,
5/8/2022 20:09:53,Chicagoland,Pharmaceutical (including “big pharma”),,Public,5000+,QC Supervisor,Bachelors or Equivalent,12,98500,7000,Not Applicable/None,,
5/8/2022 20:22:34,RTP ,Medical testing ,,Private,5000+,Associate Chemist ,Bachelors or Equivalent,6,49920,Not Applicable/None,Not Applicable/None,,
5/8/2022 20:23:41,Research Triangle Park,Medical testing ,,Private,5000+,Research Associate II,Bachelors or Equivalent,6,70000,Not Applicable/None,Not Applicable/None,,
5/8/2022 20:31:34,Santa Barbara ,Pharmaceutical (including “big pharma”),A,Public,5000+,QC Analyst I,Bachelors or Equivalent,5,72300,10,Not Applicable/None,,
5/8/2022 20:51:20,St. Louis,Pharmaceutical (including “big pharma”),,Public,5000+,Senior scientist ,PhD or Equivalent,1,108000,7020,Not Applicable/None,5000,
5/8/2022 20:52:31,Seattle,Pharmaceutical (including “big pharma”),Roche,Public,5000+,Senior Research Associate ,Bachelors or Equivalent,4,95000,5000,Not Applicable/None,,
5/8/2022 21:18:26,Boston,Medical Devices,,Private,1-50,Applications Engineer,PhD or Equivalent,2,106200,10620,Not Applicable/None,3000,4000
5/8/2022 21:26:23,Maryland,Pharmaceutical (including “big pharma”),,Private,1-50,Scientist I,PhD or Equivalent,1,95000,10%,Not Applicable/None,2500,
5/8/2022 21:57:37,Philadelphia ,Academia/Research,,Academia/College/Universities,1000-5000,Research Associate III,Masters or Equivalent,15,56182,Not Applicable/None,Not Applicable/None,,
5/8/2022 22:01:33,Boston ,Pharmaceutical (including “big pharma”),,Public,5000+,Senior Scientist ,PhD or Equivalent,3,127000,15%,7%,0,0
5/8/2022 22:05:19,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Senior Scientist,PhD or Equivalent,1,144000,20%,Not Applicable/None,,
5/8/2022 22:06:10,New York,Pharmaceutical (including “big pharma”),,Start-up,1-50,Associate Project Manager,Bachelors or Equivalent,1,82350,8235,Not Applicable/None,3000,
5/8/2022 22:10:57,Pennsylvania,Pharmaceutical (including “big pharma”),,Public,5000+,Senior Manager,PhD or Equivalent,8,140000,25000,33000,,
5/8/2022 22:21:30,Washington DC,Pharmaceutical (including “big pharma”),GSK,Public,5000+,Production Associate Director,Bachelors or Equivalent,16,148000,18%,"$35,000",,
5/8/2022 22:44:29,Florida,Academia/Research,,Academia/College/Universities,5000+,Lab Tech,Bachelors or Equivalent,2,31200,Not Applicable/None,Not Applicable/None,,
5/8/2022 22:46:52,Boston,"I’m in flavors and fragrances department, but we also have nutraceuticals and biologics at the company. ",Conagen,Private,50-200,"Scientist II, Strain Development",PhD or Equivalent,2,85000,1300,Not Applicable/None,,5000
5/8/2022 22:53:25,"Houston, TX",Pharmaceutical (including “big pharma”),Immatics,Public,200-1000,Senior Manufacturing Associate ,Bachelors or Equivalent,6,81180,9741,3000,,
5/8/2022 23:09:47,Bay area ,Pharmaceutical (including “big pharma”),Startup ,Public,50-200,Science II,Bachelors or Equivalent,6,135000,20000,5000,,
5/8/2022 23:17:52,San Diego,Pharmaceutical (including “big pharma”),,Public,200-1000,Senior Research Associates  ,Bachelors or Equivalent,4,90000,20%,RSU  yearly  ,10000,
5/8/2022 23:33:25,San Diego,Medical Devices,,Public,200-1000,Biochemist I,Bachelors or Equivalent,1,58000,Not Applicable/None,Not Applicable/None,,
5/8/2022 23:35:37,Carlsbad,Medical Devices,Thermo Fisher,Public,5000+,Scientist II,Bachelors or Equivalent,7,75000,5625,Not Applicable/None,5000,
5/8/2022 23:47:46,Midwest,Pharmaceutical (including “big pharma”),,Start-up,50-200,VP,PhD or Equivalent,15,265000,60000,250000,100000,60000
5/8/2022 23:48:50,"Houston, TX",Academia/Research,,Academia/College/Universities,5000+,Staff Scientist,PhD or Equivalent,6,56000,Not Applicable/None,Not Applicable/None,,
5/9/2022 0:26:00,"Sacramento, CA",Academia/Research,UC Davis,Academia/College/Universities,5000+,SRA II (Lab Manager/Research Coordinator),Masters or Equivalent,1,55000,Not Applicable/None,Not Applicable/None,,
5/9/2022 0:32:10,Toronto,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist,PhD or Equivalent,4,90000,10000,Not Applicable/None,,
5/9/2022 0:36:53,San Diego,Pharmaceutical (including “big pharma”),,Start-up,50-200,Senior Research Associate II,Bachelors or Equivalent,6,93000,9300,Not Applicable/None,0,0
5/9/2022 0:39:29,Los Angeles,Pharmaceutical (including “big pharma”),,Private,50-200,"Vice President, Business Development",Masters or Equivalent,11,230000,150000,100000,50000,
5/9/2022 0:59:12,UK,Pharmaceutical (including “big pharma”),Novo Nordisk,Public,5000+,Lab Coordinator/tech,Associate’s Degree or Equivalent,3,31200,3120,Not Applicable/None,,
5/9/2022 1:00:24,UK,Pharmaceutical (including “big pharma”),Evotec,Public,1000-5000,Research associate ,Associate’s Degree or Equivalent,4,30000,1500,Not Applicable/None,500,
5/9/2022 1:59:45,"Bloomington, IN, USA",Pharmaceutical (including “big pharma”),Catalent,Public,5000+,Scientist,PhD or Equivalent,4,93000,Not Applicable/None,Not Applicable/None,3000,
5/9/2022 6:01:04,RTP,Pharmaceutical (including “big pharma”),Novartis ,Public,5000+,Specialist I,Bachelors or Equivalent,3,88000,7000,Not Applicable/None,7000,
5/9/2022 6:03:37,Bay area,Pharmaceutical (including “big pharma”),,Subsidiary,50-200,Research Associate ,Bachelors or Equivalent,1,70000,7000,Not Applicable/None,,
5/9/2022 6:21:41,"NY, NY",Pharmaceutical (including “big pharma”),,Private,5000+,Associate Scientist,Bachelors or Equivalent,4,70000,8000,Not Applicable/None,,
5/9/2022 6:22:04,Netherlands,Medical Devices,,Private,50-200,Molecular Biologist,Bachelors or Equivalent,1,40000,Not Applicable/None,Not Applicable/None,,
5/9/2022 7:43:42,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,Associate Director,Bachelors or Equivalent,7,192000,48000,95000,,
5/9/2022 8:49:18,New York,Pharmaceutical (including “big pharma”),Pfizer,Public,5000+,Associate Scientist,Bachelors or Equivalent,0,69000,Not Applicable/None,Not Applicable/None,5000,10000
5/9/2022 9:12:19,LA,Pharmaceutical (including “big pharma”),Amgen,Public,5000+,Scientist,PhD or Equivalent,2,140000,16800,10000,25000,60000
5/9/2022 9:39:08,Central Maine,Pharmaceutical (including “big pharma”),Eli Lilly and Co,Public,5000+,Senior TS/MS Scientist - Upstream Processes,Masters or Equivalent,3,80800,10%,Not Applicable/None,5000,13000
5/9/2022 10:02:04,Boston,Pharmaceutical (including “big pharma”),,Start-up,50-200,Associate Scientist ,Masters or Equivalent,11,113000,10,20000,,
5/9/2022 10:57:29,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Sr. Research Associate,Bachelors or Equivalent,3,89000,8900,Not Applicable/None,7000,
5/9/2022 11:27:55,Ohio,Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist II,PhD or Equivalent,3,115000,"17,000",Not Applicable/None,,
5/9/2022 11:28:08,Ohio,Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist II,PhD or Equivalent,3,115000,"17,000",Not Applicable/None,,
5/9/2022 15:07:26,"Salt Lake City, UT",Pharmaceutical (including “big pharma”),BIOMERIEUX ,Public,5000+,Associate Scientist,Bachelors or Equivalent,1,28.37,2360,Not Applicable/None,,
5/9/2022 15:09:15,Los Angeles,Pharmaceutical (including “big pharma”),,Public,5000+,Associate Validation Engineer ,Bachelors or Equivalent,0,73100,5600,2000,,
5/9/2022 15:24:52,"Cambridge, MA",Pharmaceutical (including “big pharma”),,Public,5000+,Research Scientist II,Masters or Equivalent,1,87000,7%,Not Applicable/None,10000,
5/9/2022 16:49:04,Pittsburgh ,Pharmaceutical (including “big pharma”),,Start-up,1-50,Research Scientist ,PhD or Equivalent,3,95000,Not Applicable/None,Not Applicable/None,,15000
5/9/2022 18:12:18,RDU,Vendor,Sartorius,Public,1000-5000,Field Application Specialist,Bachelors or Equivalent,8,107000,15000,Not Applicable/None,15000,
5/9/2022 20:45:53,Bay Area,Agriculture/Food,,Start-up,50-200,Research Associate 2,Bachelors or Equivalent,2,100000,Not Applicable/None,"10,000",,
5/9/2022 21:12:52,Bay Area ,Pharmaceutical (including “big pharma”),,Private,50-200,Production Associate ,Bachelors or Equivalent,3,90000,16000,Not Applicable/None,,
5/9/2022 23:50:05,Colorado,Academia/Research,,Start-up,1-50,Research Associate III,Bachelors or Equivalent,5,63840,Not Applicable/None,Not Applicable/None,,2000
5/10/2022 0:13:58,Bay Area,Pharmaceutical (including “big pharma”),,Private,50-200,Senior Research Associate,Bachelors or Equivalent,5,115000,"17,250",Not Applicable/None,,
5/10/2022 3:02:47,RTP NC,Biotech,,Private,1-50,Research Associate ,Masters or Equivalent,1,50000,2500,Not Applicable/None,3000,
5/10/2022 5:14:59,"Sacramento, CA",Medical Devices,,Subsidiary,1-50,Associate Scientist,PhD or Equivalent,1,65000,Not Applicable/None,Not Applicable/None,,
5/10/2022 7:02:48,"Durham, NC",Agriculture/Food,,Start-up,1-50,Scientist,PhD or Equivalent,4,85000,8500,Not Applicable/None,,
5/10/2022 9:47:40,"San Diego, CA",Medical Devices,Singular Genomics ,Public,50-200,Systems Engineer ,Bachelors or Equivalent,4,115000,10000,Not Applicable/None,,
5/10/2022 10:03:53,New York,Pharmaceutical (including “big pharma”),,Start-up,50-200,Senior Scientist,PhD or Equivalent,6,131000,10000,5000,10000,3000
5/10/2022 10:33:07,SoCal,Pharmaceutical (including “big pharma”),Janssen,Public,5000+,Scientist,PhD or Equivalent,0,121000,14000,Not Applicable/None,,
5/10/2022 12:18:55,Bay Area ,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate 2,Masters or Equivalent,3,90000,9000,5000,2500,
5/10/2022 12:39:56,Boston,Pharmaceutical (including “big pharma”),,Start-up,50-200,Sr. Research Associate,Masters or Equivalent,2,90000,9000,625,8500,
5/10/2022 16:17:51,Waco,Pharmaceutical (including “big pharma”),AbbVie,Public,5000+,Microbiology Lab Technician 4,Bachelors or Equivalent,3,63771,10%,Not Applicable/None,,
5/10/2022 17:51:17,Boston,Pharmaceutical (including “big pharma”),,Private,1-50,Scientist II,PhD or Equivalent,3,130000,13000,Not Applicable/None,0,0
5/10/2022 21:24:16,Bay Area,Pharmaceutical (including “big pharma”),Gilead,Public,5000+,Clinical Trials Manager,Bachelors or Equivalent,6,160000,19200,8000,,
5/10/2022 22:00:56,Bay Area,Biotech Software/SAAS,Dotmatics,Private,200-1000,Product Manager,PhD or Equivalent,4,152000,15000,50k,0,0
5/11/2022 0:45:56,HOUSTON,Pharmaceutical (including “big pharma”),It is a CDMO,Public,200-1000,Scientist I,Masters or Equivalent,6,90000,Not Applicable/None,Not Applicable/None,,
5/11/2022 2:50:34,Seattle,Pharmaceutical (including “big pharma”),,Start-up,50-200,Research Associate,Bachelors or Equivalent,3,95000,10%,Not Applicable/None,,
5/11/2022 11:08:07,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Associate Scientist ,Bachelors or Equivalent,1,80000,5500,3750,5000,0
5/11/2022 16:08:48,Bay Area,Industrial biotech,,Start-up,1-50,Director,PhD or Equivalent,16,220000,20%,Not Applicable/None,33000,
5/11/2022 16:10:05,Bay Area,Industrial biotech,,Start-up,1-50,Principal Scientist ,PhD or Equivalent,16,165000,Not Applicable/None,Not Applicable/None,10000,
5/11/2022 18:07:37,Toronto,Pharmaceutical (including “big pharma”),Benchsci,Private,200-1000,Science,PhD or Equivalent,5,75000,Not Applicable/None,Not Applicable/None,,
5/11/2022 21:01:20,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Sr. Scientist 1,Masters or Equivalent,7,115000,11000,Not Applicable/None,,
5/11/2022 21:44:32,Boston ,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist II,PhD or Equivalent,3,150000,30000,35000,,
5/11/2022 23:54:37,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,Principal scientist ,PhD or Equivalent,12,180000,36000,45000,50000,100000
5/12/2022 5:28:00,San Francisco,Medical Devices,Twist Bioscience,Start-up,200-1000,Manufacturing Associate,Associate’s Degree or Equivalent,0,66000,Not Applicable/None,6000,2000,
5/12/2022 10:23:12,Boston,Gene Therapy,,Private,50-200,Senior Research Associate,Bachelors or Equivalent,4,90500,2000,Not Applicable/None,3000,0
5/12/2022 10:32:00,Thousand Oaks,Pharmaceutical (including “big pharma”),,Private,5000+,PD Senior Associate,Bachelors or Equivalent,6,80293,10% based on salary and review,Not Applicable/None,,
5/12/2022 17:54:36,Bay Area,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist III,PhD or Equivalent,6,150000,12000,Not Applicable/None,5000,
5/12/2022 19:15:09,RTP North Carolina,Pharmaceutical (including “big pharma”),Cambrex,Private,200-1000,Scientist 1,PhD or Equivalent,1,79560,2,Not Applicable/None,,
5/12/2022 20:20:18,"RTP/Raleigh, NC",Pharmaceutical (including “big pharma”),,Public,200-1000,Manufacturing Associate ,Bachelors or Equivalent,1,52000,8%,Not Applicable/None,,
